,_id,estimate,key,lat,lng
0,571c5457cf38dc178b7106fa,0.0,42.35009-71.07735,42.35009,-71.07735
1,571c5457cf38dc178b7106fb,238.0,42.395332-71.121864,42.395332,-71.121864
2,571c5457cf38dc178b7106fc,0.0,42.359985-71.04975,42.359985,-71.04975
3,571c5457cf38dc178b7106fd,448.0,42.357697-71.05936,42.357697,-71.05936
4,571c5457cf38dc178b7106fe,116.0,42.36507-71.10318,42.36507,-71.10318
5,571c5457cf38dc178b7106ff,84.0,42.35332-71.059395,42.35332,-71.059395
6,571c5457cf38dc178b710700,0.0,42.35146-71.07559,42.35146,-71.07559
7,571c5457cf38dc178b710701,57.75,42.317856-71.175,42.317856,-71.175
8,571c5457cf38dc178b710702,26.0,42.405838-71.08124,42.405838,-71.08124
9,571c5457cf38dc178b710703,237.6,42.419975-71.06959,42.419975,-71.06959
10,571c5457cf38dc178b710704,0.0,42.34631-71.050964,42.34631,-71.050964
11,571c5457cf38dc178b710705,0.0,42.35495-71.05978,42.35495,-71.05978
12,571c5457cf38dc178b710706,0.0,42.357365-71.06107,42.357365,-71.06107
13,571c5457cf38dc178b710707,130.0,42.35205-71.073456,42.35205,-71.073456
14,571c5457cf38dc178b710708,0.0,42.363857-71.078545,42.363857,-71.078545
15,571c5457cf38dc178b710709,52.5,42.351116-71.06607,42.351116,-71.06607
16,571c5457cf38dc178b71070a,50.6666666667,42.346046-71.08434,42.346046,-71.08434
17,571c5457cf38dc178b71070b,312.0,42.3531-71.06254,42.3531,-71.06254
18,571c5457cf38dc178b71070c,2135.2,42.36708-71.01754,42.36708,-71.01754
19,571c5457cf38dc178b71070d,0.0,42.35269-71.04529,42.35269,-71.04529
20,571c5457cf38dc178b71070e,0.0,42.35014-71.13086,42.35014,-71.13086
21,571c5457cf38dc178b71070f,250.8,42.364002-71.10139,42.364002,-71.10139
22,571c5457cf38dc178b710710,0.0,42.3376-71.08836,42.3376,-71.08836
23,571c5457cf38dc178b710711,0.0,42.34549-71.10038,42.34549,-71.10038
24,571c5457cf38dc178b710712,102.0,42.34471-71.03214,42.34471,-71.03214
25,571c5457cf38dc178b710713,80.0,42.34136-71.06964,42.34136,-71.06964
26,571c5457cf38dc178b710714,3685.0,42.36521-71.061874,42.36521,-71.061874
27,571c5457cf38dc178b710715,0.0,42.3568-71.06043,42.3568,-71.06043
28,571c5457cf38dc178b710716,36.0,42.418728-71.10618,42.418728,-71.10618
29,571c5457cf38dc178b710717,156.0,42.346035-71.081,42.346035,-71.081
30,571c5457cf38dc178b710718,115.0,42.337784-71.10514,42.337784,-71.10514
31,571c5457cf38dc178b710719,0.0,42.346817-71.075714,42.346817,-71.075714
32,571c5457cf38dc178b71071a,78.0,42.388424-71.103424,42.388424,-71.103424
33,571c5457cf38dc178b71071b,528.0,42.34951-71.07949,42.34951,-71.07949
34,571c5457cf38dc178b71071c,726.0,42.35031-71.07989,42.35031,-71.07989
35,571c5457cf38dc178b71071d,1840.0,42.348038-71.094955,42.348038,-71.094955
36,571c5457cf38dc178b71071e,0.0,42.34889-71.08178,42.34889,-71.08178
37,571c5457cf38dc178b71071f,0.0,42.34875-71.08565,42.34875,-71.08565
38,571c5457cf38dc178b710720,0.0,42.35294-71.13208,42.35294,-71.13208
39,571c5457cf38dc178b710721,0.0,42.35998-71.08763,42.35998,-71.08763
40,571c5457cf38dc178b710722,0.0,42.355522-71.06907,42.355522,-71.06907
41,571c5457cf38dc178b710723,0.0,42.36112-71.05553,42.36112,-71.05553
42,571c5457cf38dc178b710724,0.0,42.349163-71.08077,42.349163,-71.08077
43,571c5457cf38dc178b710725,39.0,42.366703-71.09154,42.366703,-71.09154
44,571c5457cf38dc178b710726,20.0,42.29876-71.01004,42.29876,-71.01004
45,571c5457cf38dc178b710727,0.0,42.39511-71.07951,42.39511,-71.07951
46,571c5457cf38dc178b710728,1357.25,42.348362-71.08373,42.348362,-71.08373
47,571c5457cf38dc178b710729,0.0,42.349106-71.09587,42.349106,-71.09587
48,571c5457cf38dc178b71072a,114.0,42.350727-71.04903,42.350727,-71.04903
49,571c5457cf38dc178b71072b,0.0,42.35125-71.07306,42.35125,-71.07306
50,571c5457cf38dc178b71072c,783.0,42.363888-71.10119,42.363888,-71.10119
51,571c5457cf38dc178b71072d,91.0,42.351566-71.050354,42.351566,-71.050354
52,571c5457cf38dc178b71072e,64.0,42.372772-71.109726,42.372772,-71.109726
53,571c5457cf38dc178b71072f,640.0,42.351078-71.06491,42.351078,-71.06491
54,571c5457cf38dc178b710730,12835.2,42.347557-71.09818,42.347557,-71.09818
55,571c5457cf38dc178b710731,704.0,42.34542-71.08182,42.34542,-71.08182
56,571c5457cf38dc178b710732,455.0,42.35089-71.077736,42.35089,-71.077736
57,571c5457cf38dc178b710733,300.0,42.349777-71.04175,42.349777,-71.04175
58,571c5457cf38dc178b710734,65.0,42.356068-71.054886,42.356068,-71.054886
59,571c5457cf38dc178b710735,0.0,42.344906-71.10099,42.344906,-71.10099
60,571c5457cf38dc178b710736,320.0,42.35056-71.06509,42.35056,-71.06509
61,571c5457cf38dc178b710737,0.0,42.345234-71.09534,42.345234,-71.09534
62,571c5457cf38dc178b710738,1020.0,42.352673-71.071075,42.352673,-71.071075
63,571c5457cf38dc178b710739,0.0,42.405773-71.06766,42.405773,-71.06766
64,571c5457cf38dc178b71073a,0.0,42.357002-71.06579,42.357002,-71.06579
65,571c5457cf38dc178b71073b,180.8888888889,42.35238-71.06455,42.35238,-71.06455
66,571c5457cf38dc178b71073c,0.0,42.350502-71.131065,42.350502,-71.131065
67,571c5457cf38dc178b71073d,0.0,42.36432-71.05392,42.36432,-71.05392
68,571c5457cf38dc178b71073e,243.75,42.37342-71.119446,42.37342,-71.119446
69,571c5457cf38dc178b71073f,135.0,42.35367-71.053635,42.35367,-71.053635
70,571c5457cf38dc178b710740,270.0,42.347355-71.08738,42.347355,-71.08738
71,571c5457cf38dc178b710741,310.5,42.362106-71.08279,42.362106,-71.08279
72,571c5457cf38dc178b710742,0.0,42.346893-71.089226,42.346893,-71.089226
73,571c5457cf38dc178b710743,286.0,42.358837-71.05679,42.358837,-71.05679
74,571c5457cf38dc178b710744,203.0769230769,42.35883-71.05989,42.35883,-71.05989
75,571c5457cf38dc178b710745,250.0,42.357708-71.06323,42.357708,-71.06323
76,571c5457cf38dc178b710746,387.75,42.373947-71.12148,42.373947,-71.12148
77,571c5457cf38dc178b710747,0.0,42.35184-71.055855,42.35184,-71.055855
78,571c5457cf38dc178b710748,0.0,42.346565-71.03503,42.346565,-71.03503
79,571c5457cf38dc178b710749,320.0,42.355324-71.07506,42.355324,-71.07506
80,571c5457cf38dc178b71074a,3596.0,42.359245-71.059364,42.359245,-71.059364
81,571c5457cf38dc178b71074b,0.0,42.359528-71.05565,42.359528,-71.05565
82,571c5457cf38dc178b71074c,47.6,42.336815-71.04775,42.336815,-71.04775
83,571c5457cf38dc178b71074d,0.0,42.342724-71.12211,42.342724,-71.12211
84,571c5457cf38dc178b71074e,1368.0,42.349598-71.075905,42.349598,-71.075905
85,571c5457cf38dc178b71074f,0.0,42.36962-71.071556,42.36962,-71.071556
86,571c5457cf38dc178b710750,0.0,42.34456-71.09782,42.34456,-71.09782
87,571c5457cf38dc178b710751,56.0,42.35671-71.06024,42.35671,-71.06024
88,571c5457cf38dc178b710752,580.0,42.349693-71.08218,42.349693,-71.08218
89,571c5457cf38dc178b710753,1323.0,42.33812-71.09475,42.33812,-71.09475
90,571c5457cf38dc178b710754,0.0,42.34975-71.065956,42.34975,-71.065956
91,571c5457cf38dc178b710755,1392.0,42.353863-71.06219,42.353863,-71.06219
92,571c5457cf38dc178b710756,9226.2857142857,42.358276-71.06149,42.358276,-71.06149
93,571c5457cf38dc178b710757,2928.0,42.4199-71.06602,42.4199,-71.06602
