T_Stop,Frequency
Southampton St @ Newmarket St,5
Albany St @ Wareham St,17
Mattapan,3
Hobart St @ Falkland St,3
Copley,43
Longwood,10
Western Ave opp Genzyme,1
Allston Street,10
Chestnut Hill Ave @ Commonwealth Ave,9
Airport,2
Kenmore,14
5 Charles Park Rd,2
Western Ave opp Richardson St,3
Arlington,45
Valley Road,1
Boston Univ Central,3
Chestnut Hill Ave @ Wiltshire Rd,9
Reservoir,9
Washington St @ Durnell Ave,3
Haymarket,92
Cleveland Circle,9
Boylston,92
Forest Hills,4
Beaconsfield,1
Sutherland Road,9
Western Ave @ Mackin St,1
American Legion Hwy @ Blue Hill Ave,2
Chestnut Hill Ave @ Chiswick Rd,9
American Legion Hwy opp Shopping Center,3
Chestnut Hill Ave @ Academy Hill Rd,15
Washington Street,1
Suffolk Downs,1
North Station,19
Western Ave opp Litchfield St,3
Western Ave @ Stadium Way,8
Chestnut Hill Ave @ Englewood Ave,9
American Legion Hwy @ Cummins Hwy,4
Warren Street,10
Fenway,14
540 Albany St opp Wareham St,17
Dedham Mall @ Stop & Shop,1
Melnea Cass Blvd @ Harrison Ave,10
Griggs Street,28
Kent Street,10
Market St @ Gardena St,15
_id,576f2b778929c006f4ded1bb
American Legion Hwy @ Canterbury St,1
450 Western Ave,3
Washington St opp Ruggles St,10
Faneuil St opp Bothwell Rd,3
Packards Corner,28
Milton,7
60 Western Ave,1
Western Ave @ N Harvard St,8
opp 150 American Legion Hwy,4
Jackson Square,7
Riverway,8
Blandford Street,14
Orient Heights,1
Dean Road,1
Northeastern University,13
Prudential,43
Tremont St opp Temple Pl,92
Market St @ Washington St,15
Western Ave @ Soldiers Field Rd,1
Pleasant Street,6
American Legion Hwy @ Army Reserve,3
130 Western Ave,8
Tappan Street,1
2165 Dorchester Ave,1
Roxbury Crossing,8
Community College,2
Western Ave @ Everett St,3
Saint Mary Street,3
Courthouse,19
Faneuil St @ Fairbanks St,3
Harvard Ave,28
Back Bay,43
Market St @ Centola St,1
Brigham Circle,8
Chinatown,92
River St opp Fremont St,3
Market St opp Mapleton St,15
Charles Park Rd @ VFW Pkwy,2
Albany St opp E Concord St,17
Albany St opp Boston Medical,6
South Station,92
Central Ave,7
Hawes Street,10
Chestnut Hill Ave @ Wallingford Rd,9
Chestnut Hill Ave,9
