FID,OBJECTID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Network,InstallDat,ExisFacil,Rec1,Rec2,Road,Divided,CurbtoCurb,KeyBus,LengthMi,BikeInvent,RoadSegmen,Spine,TravelLane,OneWay,WorkplanDa,Agent,Designer,EngStatus,ProjectedI,FiveYearPl,Shape_Leng
2001,2001,Fiedler Shared-Use Bridge to Beacon St Connector,0,0,3,1,0,SUP, , ,0,0,0,0,0.035904,0,0,1,0,B,0, , ,0,0,0,57.781647
2002,2002,Fairfield Street Shared-Use Bridge,0,0, ,1,0,SUB, , ,0,0,0,0,0.099442,0,0,0,0,B,0, , ,0,0,0,160.037063
2003,2003,Emerald Necklace Trail,0,0,2,1,0,SUP, , ,0,0,0,0,0.012619,0,0,0,0,B,0, , ,0,0,0,20.308618
2004,2004,Emerald Necklace Trail,0,0,2,1,0,SUP, , ,0,0,0,0,0.055125,0,0,0,0,B,0, , ,0,0,0,88.71451
2005,2005,Emerald Necklace Trail,0,0,2,1,0,SUP, , ,0,0,0,0,0.123954,0,0,0,0,B,0, , ,0,0,0,199.48498
2006,2006,Emerald Necklace Trail,0,0,2,1,0,SUP, , ,0,0,0,0,0.124037,0,0,0,0,B,0, , ,0,0,0,199.618291
2007,2007,Emerald Necklace Trail,0,0,2,1,0,SUP, , ,0,0,0,0,0.028719,0,0,0,0,B,0, , ,0,0,0,46.219206
2008,2008,Emerald Necklace Trail,0,0,2,1,0,SUP, , ,0,0,0,0,0.017167,0,0,0,0,B,0, , ,0,0,0,27.627409
2009,2009,Truman Highway Sidepath,0,0,3,1,0,SUP, , ,0,0,0,0,0.633407,0,0,1,0,B,0,DCR,Unknown,0,0,0,1019.371056
2010,2010, ,0,0,2,1,0,SUP, , ,0,0,0,0,0.219544,0,0,1,0,B,0, , ,0,0,0,353.322003
2011,2011, ,0,0,5,1,0,SUP, , ,0,0,0,0,0.226521,0,0,0,0,B,0, , ,0,0,0,364.550213
2012,2012, ,0,0,2,1,0,SUP, , ,0,0,0,0,0.181527,0,0,0,0,B,0, , ,0,0,0,292.140658
2013,2013,Barry Playground Path,0,0,2,1,2012,SUP, , ,0,0,0,0,0.234303,0,0,1,0,B,0, , ,0,0,0,377.074082
2014,2014,Charlestown HS Path,0,0,2,1,0,SUP, , ,0,0,0,0,0.087295,0,0,1,0,B,0, , ,0,0,0,140.487725
2015,2205,Arnold Arboretum Trails,0,0,2,1,0,SUP, , ,0,0,0,0,0.521228,0,0,0,0,B,0, , ,0,0,0,838.837204
2016,2015,MassPike Bike-Ped Bridge,0,0,1,1,0,SUB, , ,0,0,0,0,0.112146,0,0,0,0,B,0, , ,0,0,0,180.481532
2017,2206,Arnold Arboretum Trails,0,0,2,1,0,SUP, , ,0,0,0,0,0.119083,0,0,0,0,B,0, , ,0,0,0,191.646593
2018,2207,Arnold Arboretum Trails,0,0,2,1,0,SUP, , ,0,0,0,0,0.374205,0,0,0,0,B,0, , ,0,0,0,602.225277
2019,2208,Arnold Arboretum Trails,0,0,2,1,0,SUP, , ,0,0,0,0,0.142182,0,0,0,0,B,0, , ,0,0,0,228.820204
2020,2016,Boston Bike Pike,0,0,1,1,0,SUP, , ,0,0,0,0,0.048535,0,0,0,0,B,0, , ,0,0,0,78.109581
2021,2103,Boston Harbor Islands Trails,0,0, ,1,0,SUP, , ,0,0,0,0,0.063724,0,0,0,0,B,0, , ,0,0,0,102.55471
