STREET1,STREET2,1HASLANE,2HASLANE,BLFinal
Commonwealth Avenue,Babcock Street,1.0,0.0,0
Brighton Avenue,Cambridge Street,1.0,1.0,0
Dudley Street,Dudley Place,0.0,0.0,0
Swift Street,Saratoga Street,0.0,1.0,0
Harrison Avenue,Johnny Court,1.0,0.0,0
Lindall Street,Basile Street,0.0,0.0,0
Tremont Street,Temple Place,0.0,0.0,0
Massachusetts Avenue,Marlborough Street,1.0,0.0,0
Huntington Avenue,Garrison Street,1.0,0.0,0
Boylston Street,Dartmouth Street,1.0,1.0,0
Newbury Street,Fairfield Street,0.0,0.0,0
Commonwealth Avenue,Crowninshield Road,1.0,0.0,0
Ruggles Street,Parker Street,1.0,0.0,0
Commonwealth Avenue,Saint Paul Street,1.0,0.0,0
Newbury Street,Fairfield Street,0.0,0.0,0
Tremont Street,Whittier Street,0.0,0.0,0
Huntington Avenue,Fenwood Road,1.0,0.0,0
La Grange Street,Washington Street,0.0,1.0,0
Ruggles Street,Tremont Street,1.0,0.0,0
Stanwood Street,Blue Hill Avenue,0.0,1.0,0
Blue Hill Avenue,Paxton Street,1.0,0.0,0
Brighton Avenue,Harvard Avenue,1.0,1.0,0
Columbia Road,Intervale Street,1.0,0.0,0
Saint Alphonsus Street,Smith Street,0.0,0.0,0
Mountfort Street,Commonwealth Avenue,0.0,1.0,0
Parker Street,Tremont Street,0.0,0.0,0
North Harvard Street,Western Avenue,1.0,1.0,0
Washington Street,Crispus Attucks Place,1.0,0.0,0
Forest Hills Street,Woodside Avenue,0.0,0.0,0
Belvidere Street,Huntington Avenue,1.0,1.0,0
Dorchester Avenue,Doris Street,1.0,0.0,0
Commonwealth Avenue,Massachusetts Avenue,1.0,1.0,0
Prentiss Street,Tremont Street,0.0,0.0,0
Commonwealth Avenue Frontage Road Wb,Spofford Road,1.0,0.0,1
Commonwealth Avenue,Amory Street,1.0,0.0,0
Commonwealth Avenue,Massachusetts Avenue,1.0,1.0,0
Massachusetts Avenue,Saint Botolph Street,1.0,0.0,0
Harvard Avenue,Brighton Avenue,1.0,1.0,0
Everett Street,Clevemont Avenue,0.0,0.0,0
Commonwealth Avenue,Babcock Street,1.0,0.0,0
Albany Street,Thayer Street,1.0,0.0,0
Washington Street Place,Washington Street,0.0,1.0,0
Massachusetts Avenue,Newbury Street,1.0,0.0,0
Warren Street,Nevins Street,1.0,0.0,0
Walk Hill Street,Wenham Street,0.0,0.0,0
Kingston Street,Summer Street,0.0,0.0,0
Melnea Cass Boulevard,Massachusetts Avenue,0.0,1.0,0
Blue Hill Avenue,Johnston Road,1.0,0.0,0
Boylston Street,Clarendon Street,1.0,0.0,0
Commonwealth Avenue,Saint Marys Street,1.0,0.0,0
Hereford Street,Public Alley 414,1.0,0.0,0
Centre Street,Harris Avenue,1.0,0.0,0
Congress Street,Hawes Street,1.0,0.0,0
Massachusetts Avenue,Clearway Street,1.0,0.0,0
New Rutherford Avenue,City Square,0.0,1.0,0
Gordon Street,Cambridge Street,0.0,1.0,0
Belvidere Street,Huntington Avenue,1.0,1.0,0
Washington Street,Ukraine Way,1.0,0.0,0
Ruggles Street,Parker Street,1.0,0.0,0
Staniford Street,Longfellow Pl,0.0,0.0,0
Yawkey Way,Brookline Avenue,0.0,1.0,0
Commonwealth Avenue,Buick Street,1.0,0.0,0
Dudley Street,Langdon Street,0.0,0.0,0
Commonwealth Avenue,Massachusetts Avenue,1.0,1.0,0
Wayland Street,Hartford Street,0.0,0.0,0
Rossmore Street,Washington Street,0.0,1.0,0
Harvard Avenue,Cambridge Street,1.0,1.0,0
Charles Street South,Boylston Street,0.0,1.0,0
Linden Street,Brighton Avenue,0.0,1.0,0
Washington Street,Guild Street,1.0,0.0,0
Harvard Avenue,Brighton Avenue,1.0,1.0,0
Hanover Street,Wesley Place,0.0,0.0,0
Reservoir Road,Beacon Street,0.0,1.0,0
Dunkeld Street,Quincy Street,0.0,0.0,0
Magazine Street,Allerton Street,0.0,0.0,0
Gardena Street,Market Street,0.0,1.0,0
Brighton Avenue,Allston Street,1.0,0.0,0
Washington Street,West Springfield Street,1.0,0.0,0
Massachusetts Avenue,Allstate Road,1.0,0.0,0
Charlesgate East,Commonwealth Avenue,0.0,1.0,0
Tonawanda Street,Geneva Avenue,0.0,0.0,0
Washington Street,Shepard Street,1.0,0.0,0
Centre Street,Pierre Lallement Bike Path,1.0,0.0,0
Massachusetts Avenue,Allstate Road,1.0,0.0,0
Commonwealth Avenue,Lake Street,1.0,1.0,0
Melnea Cass Boulevard,Columbus Avenue,0.0,1.0,0
Western Avenue,Telford Street,1.0,0.0,0
North Harvard Street,Easton Street,1.0,0.0,0
Knoll Street,Centre Street,0.0,1.0,0
Neponset Avenue,Tilesboro Street,1.0,0.0,0
Alpha Road,Waldeck Street,0.0,0.0,0
Locust Street,Dorchester Avenue,0.0,1.0,0
Bowdoin Street,Hendry Street,0.0,0.0,0
Norfolk Street,Ferndale Street,0.0,0.0,0
Tebroc Street,Bowdoin Street,0.0,0.0,0
Massachusetts Avenue,Shawmut Avenue,1.0,0.0,0
Stuart Street,Washington Street,1.0,1.0,0
Boylston Street,Centre Street,1.0,1.0,0
Wheatland Avenue,Spencer Street,0.0,0.0,0
Massachusetts Avenue,Newbury Street,1.0,0.0,0
Charles Street South,Boylston Street,0.0,1.0,0
Annabel Street,Holden Street,0.0,0.0,0
Perkins Street,Parkman Drive,1.0,0.0,0
Commonwealth Avenue Frontage Road Wb,Harvard Avenue,1.0,1.0,0
Columbia Road,Dudley Street,1.0,0.0,0
Hemenway Street,Westland Avenue,1.0,0.0,0
Washington Street,Bray Street,1.0,0.0,0
Washington Street,East Concord Street,1.0,0.0,0
Walden Street,Arklow Street,0.0,0.0,0
State Street,John F. Fitzgerald Surface Road,0.0,1.0,0
Boylston Street,Clarendon Street,1.0,0.0,0
Stuart Street,Clarendon Street,1.0,0.0,0
Chestnut Hill Avenue,Union Street,1.0,0.0,0
East Berkeley Street,Harrison Avenue,0.0,1.0,0
Columbus Avenue,Dartmouth Street,1.0,1.0,0
Revere Street,Charles Street,0.0,0.0,0
Gainsborough Street,Huntington Avenue,0.0,1.0,0
Boston Street,West Bellflower Street,0.0,0.0,0
Charles Street,David G. Mugar Way,0.0,0.0,0
Edgerly Road,Norway Street,0.0,0.0,0
New Washington Street,South Street,0.0,1.0,0
Dorchester Avenue,Savin Hill Avenue,1.0,0.0,0
Bennington Street,Chelsea Street,1.0,1.0,0
Charles Street,Ditson Street,0.0,0.0,0
Devon Street,Blue Hill Avenue,0.0,1.0,0
Shirley Street,Clifton Street,0.0,0.0,0
Brighton Avenue,Saint Lukes Road,1.0,0.0,0
Harvard Avenue,Brighton Avenue,1.0,1.0,0
Main Street,SR 38,1.0,0.0,0
Commonwealth Avenue,Cummington Mall,1.0,0.0,0
South Huntington Avenue,Heath Street,1.0,0.0,0
George R. Visconti Road,Paris Street,0.0,0.0,0
Blossom Street,Cambridge Street,0.0,1.0,0
Beacon Street,Keswick Street,1.0,0.0,0
Commonwealth Avenue,Mountfort Street,1.0,0.0,1
Cambridge Street,Linden Street,1.0,0.0,0
Newbury Street,Dartmouth Street,0.0,1.0,0
Callender Street,Lauriat Street,0.0,0.0,0
West Broadway,D Street,0.0,1.0,0
Townsend Street,Warren Street,0.0,1.0,0
Brighton Avenue,Allston Street,1.0,0.0,0
Trinity Place,Saint James Avenue,0.0,0.0,0
Pilgrim Road,Short Street,0.0,0.0,0
Centre Street,Pond Street,1.0,0.0,0
Cambridge Street,Brighton Avenue,1.0,1.0,0
Blue Hill Avenue,River Street,1.0,1.0,0
Harrison Avenue,Massachusetts Avenue,1.0,1.0,0
Richfield Street,Columbia Terrace,0.0,0.0,0
Washington Street,Martin Luther King Boulevard,1.0,1.0,0
Boylston Street,Fairfield Street,1.0,0.0,0
Blue Hill Avenue,Georgia Street,1.0,0.0,0
Massachusetts Avenue,Washington Street,1.0,1.0,0
Dorchester Avenue,Congress Street,1.0,1.0,0
Hanover Street,Congress Street,0.0,1.0,0
Rutland Square,Public Alley 502,0.0,0.0,0
Massachusetts Avenue,Washington Street,1.0,1.0,0
Tremont Street,Massachusetts Avenue,0.0,1.0,0
Huntington Avenue,Fenwood Road,1.0,0.0,0
Irma Street,Arbutus Street,0.0,0.0,0
Harvard Street,Vesta Road,0.0,0.0,0
Washington Street,Worcester Street,1.0,0.0,0
Commonwealth Avenue,Amory Street,1.0,0.0,0
Morton Street,American Legion Highway,1.0,1.0,0
Harvard Avenue,Glenville Terrace,1.0,0.0,0
Harvard Street,Gleason Street,0.0,0.0,0
Centre Street,Pierre Lallement Bike Path,1.0,0.0,0
Huntington Avenue,Shepherd Avenue,1.0,0.0,0
South Bay Harbor Trail,Frontage Road,1.0,0.0,0
Massachusetts Avenue,Haviland Street,1.0,0.0,0
West Selden Street,Morton Street,0.0,1.0,0
Green Street,Washington Street,0.0,1.0,0
North Beacon Street,Arthur Street,0.0,0.0,0
Perkins Street,Pond View Avenue,1.0,0.0,0
Erie Street,Wolcott Street,0.0,0.0,0
Congress Street,North Street,1.0,0.0,0
East Broadway,K Street,0.0,0.0,0
Washington Street,Kneeland Street,1.0,0.0,0
Harrison Avenue,Eustis Street,1.0,0.0,0
Royal Street,Coolidge Road,0.0,0.0,0
Harrison Avenue,Kneeland Street,1.0,0.0,0
