COUNT,ST_NAM,LENGTH
111,Commonwealth Avenue,80085.39950999997
93,Washington Street,93510.29839700006
82,Massachusetts Avenue,19069.743478999997
52,Centre Street,50740.159928999994
51,Dorchester Avenue,32266.98867599999
46,Blue Hill Avenue,38362.742853
43,Beacon Street,35983.029750999995
41,Cambridge Street,27806.06828800001
39,Boylston Street,18489.267548
38,Columbus Avenue,30132.408341
38,Huntington Avenue,33071.81060099998
36,Tremont Street,24569.833310000016
35,Harvard Avenue,4964.778294000001
20,Brighton Avenue,7079.11115
18,Parker Street,7754.990588000001
18,Columbia Road,36984.94857500001
15,Warren Street,16398.593611
14,Ruggles Street,4214.9814719999995
13,Dudley Street,10001.029304999998
13,Longwood Avenue,3621.148737
11,Harrison Avenue,12625.918213
11,South Street,15888.982059999997
9,Chestnut Hill Avenue,6105.251069
9,Hyde Park Avenue,35189.485852
8,Linden Street,3652.3513840000005
8,Belvidere Street,1921.7694500000002
8,Main Street,10551.287407
8,Melnea Cass Boulevard,10552.664129
8,Summer Street,19783.286012999997
8,Atlantic Avenue,6215.230498999999
7,Bowdoin Street,7105.677548000002
7,Clarendon Street,4227.021431
7,Brookline Avenue,6823.400511999999
7,Blossom Street,3499.964452
7,Newbury Street,7085.709819999999
7,Harvard Street,21160.953528
7,Western Avenue,8714.404297
7,Prentiss Street,995.685101
7,Park Drive,8960.751402
7,Adams Street,18631.900076
6,Congress Street,13098.907119000001
6,Kelton Street,1630.149813
6,Shawmut Avenue,9133.023069
6,Green Street,4292.264917
5,Saint Alphonsus Street,2180.658428
5,Stanwood Street,1904.4905669999998
5,Everett Street,10504.330460999998
5,Geneva Avenue,6918.265262
5,Stuart Street,5804.918775000001
5,Blackfan Street,201.824147
5,Edgerly Road,1230.610691
5,Saratoga Street,14373.91027
5,Hemenway Street,2925.5835589999997
5,Humboldt Avenue,4381.423285
5,Albany Street,10903.754034000001
4,Southampton Street,4506.265422
4,A Street,4764.384123
4,Strathmore Road,2773.084177
4,Kneeland Street,1930.299574
4,Buick Street,552.107537
4,Exeter Street,2282.962055
4,Cummins Highway,17662.01326
4,Dartmouth Street,5226.489046
4,Seaver Street,10396.909006000002
4,Boston Street,3545.7672740000007
4,Morton Street,24703.289347
4,Meridian Street,5066.058656
