STREET1,STREET2
Commonwealth Avenue,Babcock Street
Brighton Avenue,Cambridge Street
Dudley Street,Dudley Place
Swift Street,Saratoga Street
Harrison Avenue,Johnny Court
Lindall Street,Basile Street
Tremont Street,Temple Place
Massachusetts Avenue,Marlborough Street
Huntington Avenue,Garrison Street
Boylston Street,Dartmouth Street
Newbury Street,Fairfield Street
Commonwealth Avenue,Crowninshield Road
Ruggles Street,Parker Street
Commonwealth Avenue,Saint Paul Street
Newbury Street,Fairfield Street
Tremont Street,Whittier Street
Huntington Avenue,Fenwood Road
La Grange Street,Washington Street
Ruggles Street,Tremont Street
Stanwood Street,Blue Hill Avenue
Blue Hill Avenue,Paxton Street
Brighton Avenue,Harvard Avenue
Columbia Road,Intervale Street
Saint Alphonsus Street,Smith Street
Mountfort Street,Commonwealth Avenue
Parker Street,Tremont Street
North Harvard Street,Western Avenue
Washington Street,Crispus Attucks Place
Forest Hills Street,Woodside Avenue
Belvidere Street,Huntington Avenue
Dorchester Avenue,Doris Street
Commonwealth Avenue,Massachusetts Avenue
Prentiss Street,Tremont Street
Commonwealth Avenue Frontage Road Wb,Spofford Road
Commonwealth Avenue,Amory Street
Commonwealth Avenue,Massachusetts Avenue
Massachusetts Avenue,Saint Botolph Street
Harvard Avenue,Brighton Avenue
Everett Street,Clevemont Avenue
Commonwealth Avenue,Babcock Street
Albany Street,Thayer Street
Washington Street Place,Washington Street
Massachusetts Avenue,Newbury Street
Warren Street,Nevins Street
Walk Hill Street,Wenham Street
Kingston Street,Summer Street
Melnea Cass Boulevard,Massachusetts Avenue
Blue Hill Avenue,Johnston Road
Boylston Street,Clarendon Street
Commonwealth Avenue,Saint Marys Street
Hereford Street,Public Alley 414
Centre Street,Harris Avenue
Congress Street,Hawes Street
Massachusetts Avenue,Clearway Street
New Rutherford Avenue,City Square
Gordon Street,Cambridge Street
Belvidere Street,Huntington Avenue
Washington Street,Ukraine Way
Ruggles Street,Parker Street
Staniford Street,Longfellow Pl
Yawkey Way,Brookline Avenue
Commonwealth Avenue,Buick Street
Dudley Street,Langdon Street
Commonwealth Avenue,Massachusetts Avenue
