STREET1,STREET2,1HASLANE,2HASLANE
Harrison Avenue,Johnny Court,1,0
Washington Street,Crispus Attucks Place,1,0
Dorchester Avenue,Doris Street,1,0
Commonwealth Avenue Frontage Road Wb,Spofford Road,1,0
Albany Street,Thayer Street,1,0
Washington Street Place,Washington Street,0,1
Warren Street,Nevins Street,1,0
Hereford Street,Public Alley 414,1,0
Congress Street,Hawes Street,1,0
New Rutherford Avenue,City Square,0,1
Rossmore Street,Washington Street,0,1
Washington Street,Guild Street,1,0
Reservoir Road,Beacon Street,0,1
Washington Street,West Springfield Street,1,0
Charlesgate East,Commonwealth Avenue,0,1
Washington Street,Shepard Street,1,0
North Harvard Street,Easton Street,1,0
Knoll Street,Centre Street,0,1
Neponset Avenue,Tilesboro Street,1,0
Locust Street,Dorchester Avenue,0,1
Perkins Street,Parkman Drive,1,0
Columbia Road,Dudley Street,1,0
Washington Street,Bray Street,1,0
Stuart Street,Clarendon Street,1,0
Chestnut Hill Avenue,Union Street,1,0
East Berkeley Street,Harrison Avenue,0,1
Gainsborough Street,Huntington Avenue,0,1
New Washington Street,South Street,0,1
Devon Street,Blue Hill Avenue,0,1
Brighton Avenue,Saint Lukes Road,1,0
Beacon Street,Keswick Street,1,0
Newbury Street,Dartmouth Street,0,1
Townsend Street,Warren Street,0,1
Hanover Street,Congress Street,0,1
Harvard Avenue,Glenville Terrace,1,0
West Selden Street,Morton Street,0,1
Congress Street,North Street,1,0
Harrison Avenue,Eustis Street,1,0
Harrison Avenue,Kneeland Street,1,0
Adams Street,Church Street,1,0
Hamlet Street,Columbia Road,0,1
Morton Street,Norfolk Street,1,0
Blue Hill Avenue,Rexford Street,1,0
Brooks Street,Bennington Street,0,1
Oakland Street,Thornton Street,0,1
Rutland Square,Columbus Avenue,0,1
Cornell Street,Washington Street,0,1
Cambridge Street,South Russell Street,1,0
Centre Street,Highland Avenue,1,0
Washington Street,Rossmore Street,1,0
Massachusetts Avenue,Public Alley 909,1,0
Dorchester Avenue,Fields Corner Station,1,0
Columbus Avenue,West Springfield Street,1,0
Boylston Street,Jersey Street,1,0
Boylston Street,Charlesgate East,1,0
Columbus Avenue,West Canton Street,1,0
Albany Street,Northampton Street,1,0
Commonwealth Avenue,Alcorn Street,1,0
Centre Place,Centre Street,0,1
Huntington Avenue,Garrison Street,1,0
Washington Street,Breck Avenue,1,0
Harcourt Street,Huntington Avenue,0,1
East Concord Street,Washington Street,0,1
Atlantic Avenue,Summer Street,1,0
Adams Street,Elmdale Street,1,0
