zip,HP-DV PLATE: $120,HANDICAP RAMP: $100,HYDRANT: $100,B - BUS STOP/STAND: $100,LESS 10FT FIRELANE: $100,CROSSWALK: $85,NO STOP OR STAND: $75,SIDEWALK: $65,LOADING ZONE: $55,NO PARKING: $55,TAXI STAND: $50,DOUBLE PARK ZONE A: $45,EXPIRED/NO PLATE: $40,EXPIRED INSPECTION: $40,RESIDENT PARK ONLY: $40,W/IN 20 FT INTERSECT: $40,OVER 1FT FROM CURB: $35,DOUBLE PKG-ZONE B: $30,OVER METER LIMIT: $25,OVER POST LIM-ZONE B: $25,METER FEE UNPAID: $25,OVER POSTED LIMIT: $25,NO PARKING-ZONE B: $25,OTHER: $15
02116,0,0,2,0,0,0,7,0,23,4,0,1,1,1,9,0,1,0,9,0,26,1,0,2
02114,0,0,1,0,0,0,0,0,8,0,0,5,1,2,0,0,0,0,12,0,36,8,0,0
02110,0,1,0,2,1,1,7,0,35,3,0,1,2,4,0,0,0,0,5,0,9,1,0,0
02109,0,0,0,0,0,0,0,0,31,0,0,0,1,1,0,0,0,0,4,0,32,0,0,0
02111,0,0,1,0,0,0,0,0,3,8,0,4,1,4,3,0,0,0,4,0,25,2,0,0
02215,0,0,0,1,0,0,0,0,2,0,0,0,3,2,1,0,0,3,0,0,25,0,0,0
02127,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,26,0,0,0,0
02115,0,0,3,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,6,1,9,0
02134,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,3,1,5,10,0,0,0
01802,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,5,0,11,0,0,0
02130,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0
02122,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0
01904,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,10,0,0,1
02108,0,0,0,0,0,0,7,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01504,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
02129,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,3,0,0,0
01905,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
04804,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
01850,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0
01805,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,0,0
02118,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2
03414,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
